ID,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Size,Zeta,Target
1819,IronOxide,I,Sphere,,Pyrolysis,Negative,A549,100000.0,H,Human,Lung,Epithelial,Adult,L,72,0.5,MTT,TetrazoliumSalt,6.0,-36.5,1
2441,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,20.0,AlamarBlue,AlamarBlue,29.57,-33.33,0
1379,Pt,I,Sphere,FA,Chemical Reduction,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,12.5,-40.5,0
2327,MgO,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,0.1,MTT,TetrazoliumSalt,39.2,11.6,1
1238,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,30.0,MTT,TetrazoliumSalt,100.0,-8.23,0
2427,SiO2,I,Sphere,,Sol-Gel Method,Negative,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,21.06,-24.5,0
115,SiO2,I,Sphere,,Sol-Gel Method,Negative,A549,40000.0,H,Human,Lung,Epithelial,Adult,L,24,8.0,CCK-8,TetrazoliumSalt,19.4,-21.77,1
2070,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,48,80.0,NRU,NeutralRed,100.0,-8.23,0
1614,ZnO,I,Rod,,Sol-Gel Method,Negative,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,48,25.0,MTT,TetrazoliumSalt,52.0,-29.0,0
217,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,60.0,NRU,NeutralRed,29.57,-33.33,0
2320,SiO2,I,Sphere,COOH,Soft Templating Method,Negative,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,96,500.0,MTT,TetrazoliumSalt,120.0,-28.7,0
2457,MWCNT,C,Nanotube,,Commercial,Neutral,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,2.0,NRU,NeutralRed,17.6,0.9,1
1290,SWCNT,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,V79,16000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,200.0,MTS,TetrazoliumSalt,1.5,-8.1,0
674,MWCNT,C,Nanotube,,Chemical Vapor Deposition,Negative,A549,12000.0,H,Human,Lung,Epithelial,Adult,L,24,100.0,MTS,TetrazoliumSalt,25.0,-9.78,1
2384,Chitosan,O,Irregular,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,48,31.25,MTT,TetrazoliumSalt,475.2,71.3,1
1218,Ag,I,Sphere,Citrate-Lactose,Chemical Reduction,Negative,HDF,3000.0,H,Human,Skin,Fibroblast,Adult,L,48,25.0,MTS,TetrazoliumSalt,50.0,-31.0,1
844,SiO2,I,Sphere,,Commercial,Negative,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000.0,LDH,LDHrelease,10.0,-27.0,0
1467,Ag,I,Sphere,,Chemical Reduction,Negative,RAW264.7,10000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,72,30.0,MTT,TetrazoliumSalt,43.9,-16.2,0
2463,Ag,I,Sphere,,Commercial,Negative,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,100.0,MTT,TetrazoliumSalt,29.57,-33.33,0
224,TiO2,I,Irregular,,Commercial,Negative,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.008,MTT,TetrazoliumSalt,50.0,-17.6,1
40,IronOxide,I,Sphere,,Pyrolysis,Negative,HEK293,100000.0,H,Human,Kidney,Epithelial,Embryonic,L,24,2.0,MTT,TetrazoliumSalt,6.0,-36.5,1
408,SiO2,I,Sphere,,Sol-Gel Method,Negative,NIH3T3,50000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,10.0,MTT,TetrazoliumSalt,100.33,-31.7,0
1738,Chitosan,O,Irregular,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,48,125.0,MTT,TetrazoliumSalt,684.8,74.4,1
1645,IronOxide,I,Sphere,Dextran,Co-precipitation,Negative,Monocytes,150000.0,H,Human,Blood,Monocyte,Adult,P,24,20.0,CCK-8,TetrazoliumSalt,7.5,-11.0,1
789,Pt,I,Sphere,PVP,Chemical Reduction,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,200.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,0
1213,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,48,10.0,MTT,TetrazoliumSalt,100.0,-8.23,0
874,PLGA,O,Sphere,,Emulsion-Solvent Evaporation ,Negative,Colo_205,10000.0,H,Human,Colon,Epithelial,Adult,L,24,1250.0,MTS,TetrazoliumSalt,120.0,-11.0,1
1903,Polystyrene,O,Sphere,COOH,Commercial,Negative,TT1,500000.0,H,Human,Lung,Epithelial,Adult,P,24,10.0,MTT,TetrazoliumSalt,50.0,-46.7,1
1888,TiO2,I,Sphere,,Commercial,Negative,AGS,10000.0,H,Human,Stomach,Epithelial,Adult,L,3,60.0,MTS,TetrazoliumSalt,21.0,-27.8,1
2428,Polystyrene,O,Sphere,NH2,Commercial,Positive,Macrophages,200000.0,H,Human,Lung,Macrophage,Adult,P,24,50.0,MTT,TetrazoliumSalt,50.0,43.0,0
111,CuO,I,Sphere,,Commercial,Negative,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,5.0,MTT,TetrazoliumSalt,55.8,-32.8,1
2354,TiO2,I,Irregular,,Commercial,Negative,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.08,NRU,NeutralRed,50.0,-17.6,1
1866,SWCNT,C,Nanotube,,Commercial,Negative,NR8383,500000.0,A,Rat,Lung,Macrophage,Adult,L,4,200.0,AlamarBlue,AlamarBlue,601.7,-13.005,0
1230,IronOxide,I,Sphere,Silica,Commercial,Negative,HK-2,30000.0,H,Human,Kidney,Epithelial,Adult,L,24,1.0,XTT,TetrazoliumSalt,114.0,-6.52,1
658,Au,I,Sphere,Citrate,Commercial,Negative,CCL-110,5000.0,H,Human,Skin,Fibroblast,Fetus,P,96,0.5,MTS,TetrazoliumSalt,61.06,-32.7,1
1584,Au,I,Sphere,,Commercial,Negative,CCL-110,5000.0,H,Human,Skin,Fibroblast,Fetus,L,24,0.2,MTS,TetrazoliumSalt,61.46,-32.66,0
1748,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,1000.0,MTT,TetrazoliumSalt,105.0,-24.0,1
619,MWCNT,C,Nanotube,,Commercial,Neutral,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,2.0,CCK-8,TetrazoliumSalt,17.6,0.9,1
567,PLGA,O,Sphere,,Emulsion-Solvent Evaporation ,Negative,BALB/c3T3,20000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,54.0,MTT,TetrazoliumSalt,95.0,-20.5,1
1857,C60,C,Sphere,,Commercial,Negative,hPDLF,10000.0,H,Human,Teeth,Fibroblast,Adult,P,48,50.0,MTT,TetrazoliumSalt,34.64,-37.4,0
765,Pt,I,Sphere,,Green Synthesis,Negative,HEK293,10000.0,H,Human,Kidney,Epithelial,Embryonic,L,6,60.0,MTS,TetrazoliumSalt,24.6,-11.0,1
335,Ag,I,Sphere,Citrate-Oligonucleotide,Chemical Reduction,Negative,A549,3000.0,H,Human,Lung,Epithelial,Adult,L,48,12.5,MTS,TetrazoliumSalt,50.0,-30.0,1
1594,Dendrimer,O,Sphere,,Commercial,Positive,hNPC,100000.0,H,Human,Brain,Neuronal,Embryonic,P,72,100.0,MTT,TetrazoliumSalt,5.4,50.03,0
292,MWCNT,C,Nanotube,,Chemical Vapor Deposition,Negative,V79,16000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,200.0,MTS,TetrazoliumSalt,50.0,-7.28,1
2372,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,20.0,MTT,TetrazoliumSalt,100.0,-8.23,0
2080,SLN,O,Sphere,,Emulsion-Solvent Evaporation ,Negative,A549,100000.0,H,Human,Lung,Epithelial,Adult,L,24,2607.3,MTT,TetrazoliumSalt,98.4,-14.6,1
165,CuO,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,100.0,MTT,TetrazoliumSalt,46.3,42.8,0
2492,Pt,I,Sphere,FA,Chemical Reduction,Negative,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,50.0,CellTiterGlo,LuciferaseEnzyme,12.5,-40.5,0
1339,EudragitRL,O,Sphere,,Emulsion-Solvent Evaporation ,Positive,THP-1,5000.0,H,Human,Blood,Monocyte,Adult,L,24,25.0,WST-1,TetrazoliumSalt,142.0,56.0,1
440,SiO2,I,Sphere,,Sol-Gel Method,Negative,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,59.72,-38.1,0
707,IronOxide,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,12,100.0,MTT,TetrazoliumSalt,46.8,1.7,1
2111,SiO2,I,Sphere,,Sol-Gel Method,Negative,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,199.89,-36.3,0
535,C70,C,Sphere,,Commercial,Negative,V79,10000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,10.0,MTT,TetrazoliumSalt,57.0,-35.0,1
930,SLN,O,Sphere,,Emulsion-Solvent Evaporation ,Negative,A549,100000.0,H,Human,Lung,Epithelial,Adult,L,24,5624.7,NRU,TetrazoliumSalt,98.4,-14.6,0
1394,MWCNT,C,Nanotube,,Chemical Vapor Deposition,Negative,A549,12000.0,H,Human,Lung,Epithelial,Adult,L,24,50.0,MTS,TetrazoliumSalt,25.0,-9.78,1
620,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,48,250.0,AlamarBlue,AlamarBlue,29.57,-33.33,0
266,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,10.0,NRU,NeutralRed,100.0,-8.23,1
473,Ag,I,Wire,,Commercial,Negative,J774A.1,10000.0,A,Mouse,Ascites,Macrophage,Adult,L,24,20.0,MTS,TetrazoliumSalt,30.0,-3.85,0
966,MWCNT,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,V79,16000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,100.0,MTS,TetrazoliumSalt,8.0,-9.64,1
1980,IronOxide,I,Sphere,,Commercial,Negative,hPDLF,10000.0,H,Human,Teeth,Fibroblast,Adult,P,6,50.0,MTT,TetrazoliumSalt,28.33,-18.4,1
125,Pt,I,Sphere,PVP,Chemical Reduction,Negative,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,400.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,0
2276,SiO2,I,Sphere,,Sol-Gel Method,Negative,NIH3T3,50000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,MTT,TetrazoliumSalt,199.89,-36.3,0
2375,Polystyrene,O,Sphere,,Commercial,Negative,TT1,500000.0,H,Human,Lung,Epithelial,Adult,P,24,50.0,MTT,TetrazoliumSalt,50.0,-50.5,0
2253,IronOxide,I,Sphere,PEG-FA,Solvothermal Process,Negative,SKOV-3,100000.0,H,Human,Ovary,Epithelial,Adult,L,48,5.0,MTT,TetrazoliumSalt,326.5,-23.5,1
1725,SiO2,I,Sphere,,Commercial,Negative,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10.0,Live/Dead,CalceinAM,10.0,-27.0,1
1699,Graphite,C,Sphere,,Explosion,Positive,U87,10000.0,H,Human,Brain,Epithelial,Adult,L,2,100.0,MTT,TetrazoliumSalt,4.0,31.4,0
885,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,100.0,MTT,TetrazoliumSalt,10.9,-45.4,1
251,Diamond,C,Sphere,,Explosion,Negative,U87,10000.0,H,Human,Brain,Epithelial,Adult,L,2,20.0,MTT,TetrazoliumSalt,4.0,-35.6,1
1967,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,300.0,NRU,NeutralRed,10.9,-45.4,1
137,MWCNT,C,Nanotube,,Commercial,Negative,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,64.0,CCK-8,TetrazoliumSalt,38.8,-25.1,1
1803,Diamond,C,Sphere,,Explosion,Negative,U87,10000.0,H,Human,Brain,Epithelial,Adult,L,24,100.0,MTT,TetrazoliumSalt,4.0,-35.6,1
718,Polystyrene,O,Round,,Commercial,Negative,Caco-2,150000.0,H,Human,Colon,Epithelial,Adult,L,24,125.0,CoulterCounter,Impedance,50.0,-36.0,1
2129,CuO,I,Sphere,,Commercial,Negative,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,40.0,CCK-8,TetrazoliumSalt,30.0,-29.1,0
762,SiO2,I,Sphere,CTAB,Precipitation,Negative,PC12,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,L,24,15.6,MTT,TetrazoliumSalt,386.9,-35.9,1
494,SiO2,I,Sphere,,Commercial,Negative,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100.0,LDH,LDHrelease,10.0,-27.0,0
2089,SiO2,I,Sphere,,Commercial,Negative,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000.0,Live/Dead,PropidiumIodide,10.0,-27.0,0
566,SiO2,I,Sphere,CTAB,Precipitation,Negative,PC12,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,L,24,500.0,MTT,TetrazoliumSalt,386.9,-35.9,0
920,Chitosan,O,Sphere,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,48,62.5,MTT,TetrazoliumSalt,164.0,63.2,1
947,SWCNT,C,Nanotube,PEG,Chemical Vapor Deposition,Negative,PC12,10000.0,A,Rat,Adrenal Gland,Irregular,Adult,L,24,1.0,XTT,TetrazoliumSalt,3.0,-30.14,1
1630,IronOxide,I,Sphere,,Commercial,Negative,mDF,10000.0,A,Mouse,Skin,Fibroblast,Adult,P,24,50.0,MTT,TetrazoliumSalt,28.33,-18.4,1
1842,MWCNT,C,Nanotube,,Chemical Vapor Deposition,Negative,V79,16000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,50.0,MTS,TetrazoliumSalt,8.0,-6.96,1
1505,Ag,I,Sphere,Citrate-Oligonucleotide,Chemical Reduction,Negative,HDF,3000.0,H,Human,Skin,Fibroblast,Adult,L,24,50.0,MTS,TetrazoliumSalt,50.0,-30.0,0
1402,CuO,I,Sphere,,Commercial,Negative,hMSC,4500.0,H,Human,BoneMarrow,Spindle,Adult,P,48,31.6,NRU,NeutralRed,30.09,-20.0,0
1123,SiO2,I,Sphere,Chitosan,Hydrolysis,Positive,HepG2,5000.0,H,Human,Liver,Epithelial,Adult,L,24,500.0,AlamarBlue,AlamarBlue,578.27,8.0,0
2524,TiO2,I,Sphere,,Commercial,Negative,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,48,100.0,MTT,TetrazoliumSalt,25.0,-7.83,0
1884,MWCNT,C,Nanotube,,Commercial,Negative,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,4.0,CCK-8,TetrazoliumSalt,21.55,-21.47,1
470,IronOxide,I,Sphere,Chitosan,Pyrolysis,Positive,HeLa,100000.0,H,Human,Cervix,Epithelial,Adult,L,24,0.5,MTT,TetrazoliumSalt,8.0,11.0,1
114,MWCNT,C,Nanotube,,Chemical Vapor Deposition,Negative,V79,16000.0,A,Hamster,Lung,Fibroblast,Adult,L,24,200.0,MTS,TetrazoliumSalt,8.0,-6.96,0
902,MWCNT,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,A549,12000.0,H,Human,Lung,Epithelial,Adult,L,24,50.0,MTS,TetrazoliumSalt,8.0,-9.64,1
133,SLN,O,Sphere,CTAB,Multiple Emulsion Method,Positive,HepG2,5000.0,H,Human,Liver,Epithelial,Adult,L,24,66.0,AlamarBlue,AlamarBlue,135.1,28.2,0
91,SiO2,I,Sphere,,Sol-Gel Method,Negative,HepG2,50000.0,H,Human,Liver,Epithelial,Adult,L,72,10.0,MTT,TetrazoliumSalt,199.89,-36.3,0
855,Polystyrene,O,Sphere,COOH,Commercial,Negative,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,5.0,CCK-8,TetrazoliumSalt,50.0,-9.0,1
126,MWCNT,C,Nanotube,,Chemical Vapor Deposition,Negative,A549,12000.0,H,Human,Lung,Epithelial,Adult,L,24,100.0,MTS,TetrazoliumSalt,8.0,-6.96,1
912,Polystyrene,O,Sphere,COOH,Commercial,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,50.0,CCK-8,TetrazoliumSalt,100.0,-34.0,1
2248,Polystyrene,O,Sphere,NH2,Commercial,Positive,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,CCK-8,TetrazoliumSalt,50.0,36.6,0
1761,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,500.0,MTT,TetrazoliumSalt,105.0,-24.0,1
1770,MWCNT,C,Nanotube,,Commercial,Negative,NR8383,500000.0,A,Rat,Lung,Macrophage,Adult,L,4,6.0,MTT,TetrazoliumSalt,217.2,-13.005,0
368,MWCNT,C,Nanotube,,Commercial,Negative,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,4.0,CCK-8,TetrazoliumSalt,17.4,-18.9,1
1097,Ag,I,Sphere,,Commercial,Negative,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,800.0,MTT,TetrazoliumSalt,29.57,-33.33,0
995,Polystyrene,O,Sphere,NH2,Commercial,Positive,TT1,500000.0,H,Human,Lung,Epithelial,Adult,P,24,10.0,MTT,TetrazoliumSalt,100.0,63.8,1
970,ZnO,I,Sphere,,Commercial,Negative,HEK,10000.0,H,Human,Skin,Keratinocyte,Adult,P,6,8.0,MTT,TetrazoliumSalt,245.0,-15.8,1
1762,IronOxide,I,Sphere,OleicAcid,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,150.0,NRU,NeutralRed,10.9,-45.4,0
1003,MWCNT,C,Nanotube,COOH,Chemical Vapor Deposition,Negative,A549,12000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTS,TetrazoliumSalt,25.0,-10.3,0
1022,TiO2,I,Sphere,,Commercial,Negative,AGS,10000.0,H,Human,Stomach,Epithelial,Adult,L,6,150.0,MTS,TetrazoliumSalt,25.0,-9.96,1
1845,Pt,I,Sphere,PVP,Chemical Reduction,Negative,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,0
940,SiO2,I,Sphere,,Sol-Gel Method,Negative,NIH3T3,50000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,10.0,MTT,TetrazoliumSalt,59.72,-38.1,1
380,Polystyrene,O,Sphere,,Commercial,Negative,AT2,100000.0,H,Human,Lung,Epithelial,Adult,P,24,50.0,MTT,TetrazoliumSalt,100.0,-51.1,1
596,Pt,I,Sphere,PVP,Chemical Reduction,Negative,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,25.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,1
2048,SiO2,I,Sphere,,Sol-Gel Method,Negative,NIH3T3,50000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,MTT,TetrazoliumSalt,100.33,-31.7,0
330,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,230.0,-5.0,1
1683,TiO2,I,Irregular,,Commercial,Negative,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.8,MTT,TetrazoliumSalt,50.0,-17.6,1
461,Ag,I,Wire,,Commercial,Negative,J774A.1,10000.0,A,Mouse,Ascites,Macrophage,Adult,L,24,50.0,MTS,TetrazoliumSalt,50.0,-2.49,0
148,Polystyrene,O,Sphere,NH2,Commercial,Positive,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,5.0,CCK-8,TetrazoliumSalt,500.0,37.9,0
42,SWCNT,C,Nanotube,PEG,Chemical Vapor Deposition,Negative,PC12,10000.0,A,Rat,Adrenal Gland,Irregular,Adult,L,24,10.0,XTT,TetrazoliumSalt,3.0,-30.14,1
1539,Chitosan,O,Irregular,,Ionotropic Gelation Method,Positive,MBMC,10000.0,A,Mouse,BoneMarrow,Spindle,Adult,P,72,750.0,MTT,TetrazoliumSalt,458.9,72.1,1
2115,IronOxide,I,Sphere,Silica,Reverse Microemulsion,Negative,SHSY5Y,30000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,10.0,-31.8,1
1704,Ag,I,Sphere,,Commercial,Negative,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,48,800.0,MTT,TetrazoliumSalt,29.57,-33.33,0
1785,SLN,O,Sphere,DDAB,Multiple Emulsion Method,Positive,Y-79,10000.0,H,Human,Retina,MulticellularClusters,Adult,L,24,165.0,AlamarBlue,AlamarBlue,134.2,28.2,1
1686,ZnO,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,12,100.0,MTT,TetrazoliumSalt,45.3,32.7,0
644,Ag,I,Sphere,Liposome,Chemical Reduction,Negative,THP-1,10000.0,H,Human,Blood,Monocyte,Adult,L,24,1.25,AlamarBlue,AlamarBlue,82.73,-31.9,1
781,PTFE-PMMA,O,Irregular,,Free Radical Polymerization,Negative,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,24,10.0,AlamarBlue,AlamarBlue,744.7,-2.2,1
1110,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,24,10.0,MTT,TetrazoliumSalt,100.0,-8.23,0
322,Polystyrene,O,Sphere,COOH,Commercial,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,5.0,CCK-8,TetrazoliumSalt,100.0,-34.0,1
932,IronOxide,I,Sphere,,Pyrolysis,Negative,HeLa,100000.0,H,Human,Cervix,Epithelial,Adult,L,48,0.5,MTT,TetrazoliumSalt,6.0,-36.5,0
1608,Ag,I,Sphere,,Chemical Reduction,Negative,THP-1,10000.0,H,Human,Blood,Monocyte,Adult,L,48,0.3,AlamarBlue,AlamarBlue,14.3,-26.5,1
290,TiO2,I,Sphere,,Commercial,Negative,A549,30000.0,H,Human,Lung,Epithelial,Adult,L,48,10.0,MTT,TetrazoliumSalt,15.84,-43.29,0
143,SiO2,I,Sphere,SodiumAlginate,Hydrolysis,Negative,Caco-2,5000.0,H,Human,Colon,Epithelial,Adult,L,48,200.0,AlamarBlue,AlamarBlue,345.2,-13.0,0
1398,MgO,I,Hexagon,,Sol-Gel Method,Negative,3T3-L1,100000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,600.0,MTT,TetrazoliumSalt,43.8,-7.21,0
527,IronOxide,I,Sphere,Silica,Commercial,Negative,HK-2,30000.0,H,Human,Kidney,Epithelial,Adult,L,24,400.0,XTT,TetrazoliumSalt,114.0,-6.52,0
1415,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,29.57,-33.33,0
2247,PLGA,O,Sphere,,Emulsion-Solvent Evaporation ,Negative,MDBK,10000.0,A,Cow,Kidney,Epithelial,Adult,L,24,5000.0,MTS,TetrazoliumSalt,120.0,-11.0,0
1284,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,3,15.0,NRU,NeutralRed,100.0,-8.23,1
1933,SiO2,I,Sphere,,Soft Templating Method,Negative,A2780,10000.0,H,Human,Ovary,Epithelial,Adult,L,96,100.0,MTT,TetrazoliumSalt,120.0,-5.21,0
11,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,230.0,-5.0,1
1995,Ag,I,Sphere,Citrate-Lactose,Chemical Reduction,Negative,HDF,3000.0,H,Human,Skin,Fibroblast,Adult,L,24,100.0,MTS,TetrazoliumSalt,50.0,-31.0,0
555,Al2O3,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,5.0,MTT,TetrazoliumSalt,39.7,36.3,1
2290,Dendrimer,O,Sphere,,Commercial,Positive,hNPC,100000.0,H,Human,Brain,Neuronal,Embryonic,P,72,10.0,MTT,TetrazoliumSalt,2.9,6.77,1
281,MWCNT,C,Nanotube,,Commercial,Negative,HUVEC,40000.0,H,Human,Umbilical Vein,Endothelial,Embryonic,P,24,32.0,CCK-8,TetrazoliumSalt,38.8,-25.1,1
1947,Au,I,Sphere,CyA,Chemical Reduction,Positive,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,1.5,MTT,TetrazoliumSalt,6.5,88.0,1
140,SiO2,I,Sphere,,Sol-Gel Method,Negative,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,72,100.0,MTT,TetrazoliumSalt,59.72,-38.1,0
1830,TiO2,I,Irregular,,Commercial,Negative,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.08,MTT,TetrazoliumSalt,50.0,-17.6,1
2445,SiO2,I,Sphere,SodiumAlginate,Hydrolysis,Negative,HepG2,5000.0,H,Human,Liver,Epithelial,Adult,L,24,100.0,AlamarBlue,AlamarBlue,345.2,-13.0,1
2292,Au,I,Sphere,Citrate,Commercial,Negative,NR8383,12000.0,A,Rat,Lung,Macrophage,Adult,L,24,6.0,WST-1,TetrazoliumSalt,13.0,-60.7,0
131,Pt,I,Sphere,FA,Chemical Reduction,Negative,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,400.0,CellTiterGlo,LuciferaseEnzyme,12.5,-40.5,0
2536,Pt,I,Sphere,PVP,Chemical Reduction,Negative,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,100.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,0
